Model,MAE,RMSE,R2,Chosen_Alpha,Chosen_L1_Ratio
Ridge Regression,4.513856630762582,5.762699015639669,0.04681486610089969,754.3120063354608,
Elastic Net,4.515142222469573,5.770870687151246,0.04410966203699318,0.23713737056616552,0.1
Linear Regression,4.515410125552162,5.76655219072659,0.04553976320575892,,
Lasso Regression,4.519592544999618,5.775218829219284,0.04266866186741625,0.07278953843983149,
Poisson Regression,4.5206738620966025,5.762412347725373,0.04690969694218483,,
Random Forest,4.569626771724721,5.835596519477311,0.02254696511103793,,
Baseline Mean,4.811447068551722,6.199591954670637,-0.10319325588247352,,
